Invalid_cited_DOI,Cleaned_prefix_DOI
10.1016/j.aca.2006.07.086.http://dx.doi.org/10.1016/j.aca.2006.07.086,10.1016/j.aca.2006.07.086
10.1016/j.jlumin.2004.10.018.http://dx.doi.org/10.1016/j.jlumin.2004.10.018,10.1016/j.jlumin.2004.10.018
10.1016/0014-4894(72)90103-8.http://dx.doi.org/10.1016/0014-4894(72)90103-8,10.1016/0014-4894(72)90103-8
10.1002/app.23704.http://dx.doi.org/10.1002/app.23704,10.1002/app.23704
10.1006/jcat.2001.3474.http://dx.doi.org/10.1006/jcat.2001.3474,10.1006/jcat.2001.3474
10.1021/jp8090304.http://dx.doi.org/10.1021/jp8090304,10.1021/jp8090304
10.1021/la904014z.http://dx.doi.org/10.1021/la904014z,10.1021/la904014z
10.1016/j.exppara.2004.01.002.http://dx.doi.org/10.1016/j.exppara.2004.01.002,10.1016/j.exppara.2004.01.002
10.1002/aic.10562.http://dx.doi.org/10.1002/aic.10562,10.1002/aic.10562
10.1016/j.mseb.2006.07.037.http://dx.doi.org/10.1016/j.mseb.2006.07.037,10.1016/j.mseb.2006.07.037
10.1016/j.tet.2004.03.052.http://dx.doi.org/10.1016/j.tet.2004.03.052,10.1016/j.tet.2004.03.052
10.1007/s00436-009-1466-1http://dx.doi.org/10.1007/s00436-009-1466-1,10.1007/s00436-009-1466-1
10.1021/es980268e.http://dx.doi.org/10.1021/es980268e,10.1021/es980268e
10.1007/s11356-012-0864-6.http://dx.doi.org/10.1007/s11356-012-0864-6,10.1007/s11356-012-0864-6
10.1016/j.reactfunctpolym.2008.06.012.http://dx.doi.org/10.1016/j.reactfunctpolym.2008.06.012,10.1016/j.reactfunctpolym.2008.06.012
10.1126/science.279.5350.548.http://dx.doi.org/10.1126/science.279.5350.548,10.1126/science.279.5350.548
10.1080/00222930310001613557.http://dx.doi.org/10.1080/00222930310001613557,10.1080/00222930310001613557
10.1111/j.1365-2761.1981.tb01161.x.http://dx.doi.org/10.1111/j.1365-2761.1981.tb01161.x,10.1111/j.1365-2761.1981.tb01161.x
10.1016/j.jinorgbio.2007.11.018.http://dx.doi.org/10.1016/j.jinorgbio.2007.11.018,10.1016/j.jinorgbio.2007.11.018
10.1021/jp9530562.http://dx.doi.org/10.1021/jp9530562,10.1021/jp9530562
10.1021/jf053162t.http://dx.doi.org/10.1021/jf053162t,10.1021/jf053162t
10.1021/jf101152m.http://dx.doi.org/10.1021/jf101152m,10.1021/jf101152m
10.1016/j.tibtech.2008.07.009.http://dx.doi.org/10.1016/j.tibtech.2008.07.009,10.1016/j.tibtech.2008.07.009
10.1021/ma980900o.http://dx.doi.org/10.1021/ma980900o,10.1021/ma980900o
10.1016/j.chemosphere.2006.03.016.http://dx.doi.org/10.1016/j.chemosphere.2006.03.016,10.1016/j.chemosphere.2006.03.016
10.1038/84168.http://dx.doi.org/10.1038/84168,10.1038/84168
10.2307/3284227.http://dx.doi.org/10.2307/3284227,10.2307/3284227
10.1021/j100687a007.http://dx.doi.org/10.1021/j100687a007,10.1021/j100687a007
10.1021/ef00002a001.http://dx.doi.org/10.1021/ef00002a001,10.1021/ef00002a001
10.1177/096032719101000405.http://dx.doi.org/10.1177/096032719101000405,10.1177/096032719101000405
10.1002/aic.690010222.http://dx.doi.org/10.1002/aic.690010222,10.1002/aic.690010222
10.1016/j.jcis.2006.01.037.http://dx.doi.org/10.1016/j.jcis.2006.01.037,10.1016/j.jcis.2006.01.037
10.1007/s11230-009-9195-5.http://dx.doi.org/10.1007/s11230-009-9195-5,10.1007/s11230-009-9195-5
10.1039/c39810000611.http://dx.doi.org/10.1039/c39810000611,10.1039/c39810000611
10.1016/j.dyepig.2006.05.014.http://dx.doi.org/10.1016/j.dyepig.2006.05.014,10.1016/j.dyepig.2006.05.014
10.1126/science.52.1354.562.http://dx.doi.org/10.1126/science.52.1354.562,10.1126/science.52.1354.562
10.1093/nar/25.24.4876.http://dx.doi.org/10.1093/nar/25.24.4876,10.1093/nar/25.24.4876
10.1016/j.carres.2003.11.012.http://dx.doi.org/10.1016/j.carres.2003.11.012,10.1016/j.carres.2003.11.012
10.1007/s00436-007-0546-3.http://dx.doi.org/10.1007/s00436-007-0546-3,10.1007/s00436-007-0546-3
10.1021/ef9700339.http://dx.doi.org/10.1021/ef9700339,10.1021/ef9700339
10.1016/j.porgcoat.2011.01.004.http://dx.doi.org/10.1016/j.porgcoat.2011.01.004,10.1016/j.porgcoat.2011.01.004
10.1016/j.mseb.2006.12.016.http://dx.doi.org/10.1016/j.mseb.2006.12.016,10.1016/j.mseb.2006.12.016
10.1039/a807778i.http://dx.doi.org/10.1039/a807778i,10.1039/a807778i
10.1038/1761171a0.http://dx.doi.org/10.1038/1761171a0,10.1038/1761171a0
10.1517/17460441.2010.492827.http://dx.doi.org/10.1517/17460441.2010.492827,10.1517/17460441.2010.492827
10.1021/ac960042z.http://dx.doi.org/10.1021/ac960042z,10.1021/ac960042z
10.1039/c0sm00530d.http://dx.doi.org/10.1039/c0sm00530d,10.1039/c0sm00530d
10.1016/j.foodchem.2005.10.057.http://dx.doi.org/10.1016/j.foodchem.2005.10.057,10.1016/j.foodchem.2005.10.057
10.1006/jcis.1996.0097.http://dx.doi.org/10.1006/jcis.1996.0097,10.1006/jcis.1996.0097
10.1002/jhet.5570360315.http://dx.doi.org/10.1002/jhet.5570360315,10.1002/jhet.5570360315
10.1016/j.ijhydene.2011.01.141.http://dx.doi.org/10.1016/j.ijhydene.2011.01.141,10.1016/j.ijhydene.2011.01.141
10.1016/j.snb.2007.11.033.http://dx.doi.org/10.1016/j.snb.2007.11.033,10.1016/j.snb.2007.11.033
10.1016/j.jfoodeng.2008.07.014.http://dx.doi.org/10.1016/j.jfoodeng.2008.07.014,10.1016/j.jfoodeng.2008.07.014
10.1006/jmsc.2002.1252.http://dx.doi.org/10.1006/jmsc.2002.1252,10.1006/jmsc.2002.1252
10.1080/00397919108019806.http://dx.doi.org/10.1080/00397919108019806,10.1080/00397919108019806
10.2307/3277393.http://dx.doi.org/10.2307/3277393,10.2307/3277393
10.1021/cr010421e.http://dx.doi.org/10.1021/cr010421e,10.1021/cr010421e
10.1016/j.compchemeng.2006.10.005.http://dx.doi.org/10.1016/j.compchemeng.2006.10.005,10.1016/j.compchemeng.2006.10.005
10.1002/mame.201100130.http://dx.doi.org/10.1002/mame.201100130,10.1002/mame.201100130
10.5185/amlett.2010.9155.http://dx.doi.org/10.5185/amlett.2010.9155,10.5185/amlett.2010.9155
10.1007/s00253-011-3161-2.http://dx.doi.org/10.1007/s00253-011-3161-2,10.1007/s00253-011-3161-2
10.1093/molbev/msn083.http://dx.doi.org/10.1093/molbev/msn083,10.1093/molbev/msn083
10.1016/j.synthmet.2004.08.036.http://dx.doi.org/10.1016/j.synthmet.2004.08.036,10.1016/j.synthmet.2004.08.036
10.1016/j.fct.2005.03.007.http://dx.doi.org/10.1016/j.fct.2005.03.007,10.1016/j.fct.2005.03.007
10.1016/j.chemolab.2007.03.001.http://dx.doi.org/10.1016/j.chemolab.2007.03.001,10.1016/j.chemolab.2007.03.001
10.1016/j.tetlet.2006.03.050.http://dx.doi.org/10.1016/j.tetlet.2006.03.050,10.1016/j.tetlet.2006.03.050
10.1002/smll.200600134.http://dx.doi.org/10.1002/smll.200600134,10.1002/smll.200600134
10.1007/s00436-003-0858-xhttp://dx.doi.org/10.14411/fp.2003.038,10.14411/fp.2003.038
10.1021/ja01121a047.http://dx.doi.org/10.1021/ja01121a047,10.1021/ja01121a047
10.1016/j.matchemphys.2008.08.065.http://dx.doi.org/10.1016/j.matchemphys.2008.08.065,10.1016/j.matchemphys.2008.08.065
10.1016/j.jfoodeng.2012.12.005.http://dx.doi.org/10.1016/j.jfoodeng.2012.12.005,10.1016/j.jfoodeng.2012.12.005
10.1021/ie0510526.http://dx.doi.org/10.1021/ie0510526,10.1021/ie0510526
10.1016/j.ica.2008.04.019.http://dx.doi.org/10.1016/j.ica.2008.04.019,10.1016/j.ica.2008.04.019
10.1007/s00894-005-0014-x.http://dx.doi.org/10.1007/s00894-005-0014-x,10.1007/s00894-005-0014-x
10.1007/s00253-006-0613-1.http://dx.doi.org/10.1007/s00253-006-0613-1,10.1007/s00253-006-0613-1
10.1016/j.ejmech.2012.02.053.http://dx.doi.org/10.1016/j.ejmech.2012.02.053,10.1016/j.ejmech.2012.02.053
10.1111/j.1550-7408.1976.tb05261.x.http://dx.doi.org/10.1111/j.1550-7408.1976.tb05261.x,10.1111/j.1550-7408.1976.tb05261.x
10.1016/j.carbon.2004.06.023.http://dx.doi.org/10.1016/j.carbon.2004.06.023,10.1016/j.carbon.2004.06.023
10.1016/j.micromeso.2006.09.013.http://dx.doi.org/10.1016/j.micromeso.2006.09.013,10.1016/j.micromeso.2006.09.013
10.1016/0926-3373(95)00026-7.http://dx.doi.org/10.1016/0926-3373(95)00026-7,10.1016/0926-3373(95)00026-7
10.1016/j.ympev.2004.05.009.http://dx.doi.org/10.1016/j.ympev.2004.05.009,10.1016/j.ympev.2004.05.009
10.1021/la702301a.http://dx.doi.org/10.1021/la702301a,10.1021/la702301a
10.1080/00222930110059664.http://dx.doi.org/10.1080/00222930110059664,10.1080/00222930110059664
10.1016/j.bios.2007.08.004.http://dx.doi.org/10.1016/j.bios.2007.08.004,10.1016/j.bios.2007.08.004
10.1039/b9ay00095j.http://dx.doi.org/10.1039/b9ay00095j,10.1039/b9ay00095j
10.1016/j.polymer.2008.09.044.http://dx.doi.org/10.1016/j.polymer.2008.09.044,10.1016/j.polymer.2008.09.044
10.1271/bbb.59.1901.http://dx.doi.org/10.1271/bbb.59.1901,10.1271/bbb.59.1901
10.1016/j.fuel.2012.03.051.http://dx.doi.org/10.1016/j.fuel.2012.03.051,10.1016/j.fuel.2012.03.051
10.1007/s10570-010-9475-x.http://dx.doi.org/10.1007/s10570-010-9475-x,10.1007/s10570-010-9475-x
10.1007/s11230-005-9000-z.http://dx.doi.org/10.1007/s11230-005-9000-z,10.1007/s11230-005-9000-z
10.1080/00397910500330619.http://dx.doi.org/10.1080/00397910500330619,10.1080/00397910500330619
10.5194/tc-7-1591-2013http://dx.doi.org/10.5194/tc-7-1591-2013,10.5194/tc-7-1591-2013
10.1007/s10570-010-9465-z.http://dx.doi.org/10.1007/s10570-010-9465-z,10.1007/s10570-010-9465-z
10.1002/cjoc.201090241.http://dx.doi.org/10.1002/cjoc.201090241,10.1002/cjoc.201090241
10.1007/s10236-016-0966-7http://dx.doi.org/10.1007/s10236-016-0966-7,10.1007/s10236-016-0966-7
10.1002/mrc.1270030203.http://dx.doi.org/10.1002/mrc.1270030203,10.1002/mrc.1270030203
10.1016/j.jphotochem.2010.07.024.http://dx.doi.org/10.1016/j.jphotochem.2010.07.024,10.1016/j.jphotochem.2010.07.024
10.1007/s00253-007-0851-x.http://dx.doi.org/10.1007/s00253-007-0851-x,10.1007/s00253-007-0851-x
10.1006/mchj.1997.1537.http://dx.doi.org/10.1006/mchj.1997.1537,10.1006/mchj.1997.1537
10.1016/j.radmeas.2005.07.027.http://dx.doi.org/10.1016/j.radmeas.2005.07.027,10.1016/j.radmeas.2005.07.027
10.1007/s00436-009-1386-0.http://dx.doi.org/10.1007/s00436-009-1386-0,10.1007/s00436-009-1386-0
10.1007/1282006094.http://dx.doi.org/10.1007/128_2006_094,10.1007/128_2006_094
10.1007/s00253-011-3761-x.http://dx.doi.org/10.1007/s00253-011-3761-x,10.1007/s00253-011-3761-x
10.1016/j.jct.2008.06.014.http://dx.doi.org/10.1016/j.jct.2008.06.014,10.1016/j.jct.2008.06.014
10.2478/s1156-006-0130-9.http://dx.doi.org/10.2478/s11756-006-0130-9,10.2478/s11756-006-0130-9
10.2307/3284227.http://dx.doi.org/10.2307/3284227,10.2307/3284227
10.1007/s11230-009-9215-5.http://dx.doi.org/10.1007/s11230-009-9215-5,10.1007/s11230-009-9215-5
10.1063/1.555739.http://dx.doi.org/10.1063/1.555739,10.1063/1.555739
10.1016/j.envint.2004.02.001.http://dx.doi.org/10.1016/j.envint.2004.02.001,10.1016/j.envint.2004.02.001
10.1016/j.ijpara.2005.07.013.http://dx.doi.org/10.1016/j.ijpara.2005.07.013,10.1016/j.ijpara.2005.07.013
10.1002/adfm.201201244.http://dx.doi.org/10.1002/adfm.201201244,10.1002/adfm.201201244
10.1007/s00436-007-0733-2.http://dx.doi.org/10.1007/s00436-007-0733-2,10.1007/s00436-007-0733-2
10.1039/b413546f.http://dx.doi.org/10.1039/b413546f,10.1039/b413546f
10.1021/la000340y.http://dx.doi.org/10.1021/la000340y,10.1021/la000340y
10.1021/ja01269a023.http://dx.doi.org/10.1021/ja01269a023,10.1021/ja01269a023
10.1080/00150193.2011.620836.http://dx.doi.org/10.1080/00150193.2011.620836,10.1080/00150193.2011.620836
10.1021/ja9542092.http://dx.doi.org/10.1021/ja9542092,10.1021/ja9542092
10.1186/1475-2875-10-217.http://dx.doi.org/10.1186/1475-2875-10-217,10.1186/1475-2875-10-217
10.1002/adma.200502230.http://dx.doi.org/10.1002/adma.200502230,10.1002/adma.200502230
10.1080/10826079708013658.http://dx.doi.org/10.1080/10826079708013658,10.1080/10826079708013658
10.1016/0003-2697(76)90527-3http://dx.doi.org/10.1016/0003-2697(76)90527-3,10.1016/0003-2697(76)90527-3
10.1002/jrs.1378.http://dx.doi.org/10.1002/jrs.1378,10.1002/jrs.1378
10.1099/13500872-145-2-411.http://dx.doi.org/10.1099/13500872-145-2-411,10.1099/13500872-145-2-411
10.1152/physrev.00029.2006http://dx.doi.org/10.1152/physrev.00029.2006,10.1152/physrev.00029.2006
10.1039/b704302c.http://dx.doi.org/10.1039/b704302c,10.1039/b704302c
10.1016/j.optcom.2011.05.038.http://dx.doi.org/10.1016/j.optcom.2011.05.038,10.1016/j.optcom.2011.05.038
10.1016/j.bmcl.2008.07.052.http://dx.doi.org/10.1016/j.bmcl.2008.07.052,10.1016/j.bmcl.2008.07.052
10.1016/j.talanta.2007.02.010.http://dx.doi.org/10.1016/j.talanta.2007.02.010,10.1016/j.talanta.2007.02.010
10.1016/j.polymer.2006.10.007.http://dx.doi.org/10.1016/j.polymer.2006.10.007,10.1016/j.polymer.2006.10.007
10.1111/j.1749-6632.1998.tb11038.x.http://dx.doi.org/10.1111/j.1749-6632.1998.tb11038.x,10.1111/j.1749-6632.1998.tb11038.x
10.2478/s11686-007-0002-7.http://dx.doi.org/10.2478/s11686-007-0002-7,10.2478/s11686-007-0002-7
10.1007/s00227-006-0306-4.http://dx.doi.org/10.1007/s00227-006-0306-4,10.1007/s00227-006-0306-4
10.1016/0020-7519(76)90091-6.http://dx.doi.org/10.1016/0020-7519(76)90091-6,10.1016/0020-7519(76)90091-6
10.2307/3272266.http://dx.doi.org/10.2307/3272266,10.2307/3272266
10.1021/bp980109z.http://dx.doi.org/10.1021/bp980109z,10.1021/bp980109z
10.1002/anie.200300589.http://dx.doi.org/10.1002/anie.200300589,10.1002/anie.200300589
10.1039/b200033b.http://dx.doi.org/10.1039/b106417g,10.1039/b200033b
10.1016/j.electacta.2012.04.024.http://dx.doi.org/10.1016/j.electacta.2012.04.024,10.1016/j.electacta.2012.04.024
10.1021/ic00254a027.http://dx.doi.org/10.1021/ic00254a027,10.1021/ic00254a027
10.1021/la30061841.http://dx.doi.org/10.1021/la3006184,10.1021/la30061841
"10.1080/00131946.2013.866954.friendsvol.53(2015),pp.58-62,http://dx.doi.org/10.1016/j.chb.2015.06.043","10.1080/00131946.2013.866954.friendsvol.53(2015),pp.58-62,"
10.1177/0885066607299510.http://dx.doi.org/10.1177/0885066607299510,10.1177/0885066607299510
10.3176/proc.2009.4.06.http://dx.doi.org/10.3176/proc.2009.4.06,10.3176/proc.2009.4.06
10.2478/s11696-011-0069-3.http://dx.doi.org/10.2478/s11696-011-0069-3,10.2478/s11696-011-0069-3
10.1007/s00449-011-0518-y.http://dx.doi.org/10.1007/s00449-011-0518-y,10.1007/s00449-011-0518-y
10.1021/ja01238a017.http://dx.doi.org/10.1021/ja01238a017,10.1021/ja01238a017
10.1007/s002890050035.http://dx.doi.org/10.1007/s002890050035,10.1007/s002890050035
10.1021/ja1014184.http://dx.doi.org/10.1021/ja1014184,10.1021/ja1014184
10.1126/science.1204839.http://dx.doi.org/10.1126/science.1204839,10.1126/science.1204839
10.1093/jac/48.4.487.http://dx.doi.org/10.1093/jac/48.4.487,10.1093/jac/48.4.487
10.1007/s11178-006-0019-7.http://dx.doi.org/10.1007/s11178-006-0019-7,10.1007/s11178-006-0019-7
10.1016/j.chroma.2004.02.060.http://dx.doi.org/10.1016/j.chroma.2004.02.060,10.1016/j.chroma.2004.02.060
10.1002/jhet.5570270725.http://dx.doi.org/10.1002/jhet.5570270725,10.1002/jhet.5570270725
10.2478/s11687-009-0015-xhttp://dx.doi.org/10.2478/s11687-009-0015-x,10.2478/s11687-009-0015-x
10.1007/s00253-003-1326-3.http://dx.doi.org/10.1007/s00253-003-1326-3,10.1007/s00253-003-1326-3
10.1016/0035-9203(91)90054-3.http://dx.doi.org/10.1016/0035-9203(91)90054-3,10.1016/0035-9203(91)90054-3
10.1021/ja992188w.http://dx.doi.org/10.1021/ja992188w,10.1021/ja992188w
10.1016/j.tetasy.2007.10.026.http://dx.doi.org/10.1016/j.tetasy.2007.10.026,10.1016/j.tetasy.2007.10.026
10.1016/j.enzmictec.2006.01.014.http://dx.doi.org/10.1016/j.enzmictec.2006.01.014,10.1016/j.enzmictec.2006.01.014
10.1016/j.jconrel.2005.02.023.http://dx.doi.org/10.1016/j.jconrel.2005.02.023,10.1016/j.jconrel.2005.02.023
10.1016/j.revmed.2008.11.007http://dx.doi.org/10.1016/j.revmed.2008.11.007,10.1016/j.revmed.2008.11.007
10.1021/ja01862a079.http://dx.doi.org/10.1021/ja01862a079,10.1021/ja01862a079
10.1021/jf010813m.http://dx.doi.org/10.1021/jf010813m,10.1021/jf010813m
10.1016/j.ijpharm.2004.02.014.http://dx.doi.org/10.1016/j.ijpharm.2004.02.014,10.1016/j.ijpharm.2004.02.014
10.1021/jp0109675.http://dx.doi.org/10.1021/jp0109675,10.1021/jp0109675
10.1039/c0jm02699a.http://dx.doi.org/10.1039/c0jm02699a,10.1039/c0jm02699a
10.1016/j.poly.2007.08.033.http://dx.doi.org/10.1016/j.poly.2007.08.033,10.1016/j.poly.2007.08.033
10.1016/j.tet.2010.04.064.http://dx.doi.org/10.1016/j.tet.2010.04.064,10.1016/j.tet.2010.04.064
10.1016/j.vetpar.2005.05.070.http://dx.doi.org/10.1016/j.vetpar.2005.05.070,10.1016/j.vetpar.2005.05.070
10.1016/j.bmcl.2011.12.009.http://dx.doi.org/10.1016/j.bmcl.2011.12.009,10.1016/j.bmcl.2011.12.009
10.1002/chem.200305679.http://dx.doi.org/10.1002/chem.200305679,10.1002/chem.200305679
10.1016/j.tet.2012.10.065.http://dx.doi.org/10.1016/j.tet.2012.10.065,10.1016/j.tet.2012.10.065
10.1135/cccc19880110.http://dx.doi.org/10.1135/cccc19880110,10.1135/cccc19880110
10.1038/nrmicro1748.http://dx.doi.org/10.1038/nrmicro1748,10.1038/nrmicro1748
10.1021/ma00160a026.http://dx.doi.org/10.1021/ma00160a026,10.1021/ma00160a026
10.1002/bies.20529.http://dx.doi.org/10.1002/bies.20529,10.1002/bies.20529
10.1016/j.memsci.2007.03.051.http://dx.doi.org/10.1016/j.memsci.2007.03.051,10.1016/j.memsci.2007.03.051
10.1007/s10853-010-5013-3.http://dx.doi.org/10.1007/s10853-010-5013-3,10.1007/s10853-010-5013-3
10.1016/j.taap.2007.08.002.http://dx.doi.org/10.1016/j.taap.2007.08.002,10.1016/j.taap.2007.08.002
10.1111/j.1365-2249.2005.02779.x.http://dx.doi.org/10.1111/j.1365-2249.2005.02779.x,10.1111/j.1365-2249.2005.02779.x
10.1016/0960-0760(95)00261-8.http://dx.doi.org/10.1016/0960-0760(95)00261-8,10.1016/0960-0760(95)00261-8
10.1016/j.jcis.2006.02.002.http://dx.doi.org/10.1016/j.jcis.2006.02.002,10.1016/j.jcis.2006.02.002
10.1021/ja01256a047.http://dx.doi.org/10.1021/ja01256a047,10.1021/ja01256a047
10.1016/j.biomaterials.2008.09.010.http://dx.doi.org/10.1016/j.biomaterials.2008.09.010,10.1016/j.biomaterials.2008.09.010
10.1021/cr00105a006.http://dx.doi.org/10.1021/cr00105a006,10.1021/cr00105a006
10.1021/j150659a039.http://dx.doi.org/10.1021/j150659a039,10.1021/j150659a039
