Valid_citing_DOI,Invalid_cited_DOI
10.14778/1920841.1920954,10.5555/646836.708343
10.5406/ethnomusicology.59.2.0202,10.2307/20184517
10.1161/01.cir.63.6.1391,10.1161/circ.37.4.509
10.1177/1179546820918903,10.3748/wjg.v10.i5.707.
10.1080/10410236.2020.1731937,10.1070/10810730903528033
10.1161/strokeaha.112.652065,10.1161/str.24.7.8322400
10.1177/1049732310393747,10.1111/j.545-5300.2003.42208.x
10.1155/2017/1491405,10.3760/cma.j.issn.0366-6999.20131202
10.1161/01.res.68.6.1549,10.1161/res.35.2.159
10.4018/978-1-5225-2650-6.ch006,10.1002/per
10.1145/2525314.2594229,10.5555/1873601.1873616
10.1007/s10619-020-07320-z,10.3390/sym11070911www.mdpi.com/journal/symmetry
10.1007/s11771-020-4410-2,10.13745/j.esf.2016.02.011
10.1161/01.cir.102.5.591,10.1161/circ.85.3.1537115
10.1007/s40617-018-00299-1,10.1901/jaba.2012.45-657
10.1074/jbc.m508416200,10.1059/0003-4819-100-4-483
10.1177/2054358119836124,10.1016/j.amepre.2015.07.017.
10.1002/2014jd022782,10.1016/j.atmosenv.2008.0305
10.1161/01.cir.97.6.553,10.1161/circ.66.1.7083497
10.1080/13642537.2013.849275,10.1080/1364253032000157166
10.1161/01.str.0000057812.51734.ff,10.1161/str.23.11.1440702
10.1007/978-3-319-78030-6_47,10.1186/s12933-015-0183-6.
10.1177/1754073918765660,10.1037/0021–9010.93.3.602
10.1177/0312896217726836,10.1177/0312896216656720.
10.1145/3313276.3316328,10.5555/2133036.2133123
10.1145/2834050.2834111,10.5555/2442626.2442634
10.1145/2939918.2939934,10.5555/1785594.1785635
10.1161/01.hyp.29.6.1278,10.1161/res.59.2.2874900
10.1007/s10961-016-9510-7,10.1002/smj
10.1161/circep.110.954636,10.1161/res.89.12.1216
10.1177/1179069518824125,10.3390/brainsci7120164.
10.1145/2835776.2835780,10.5555/944919.944937
10.1145/3190617,10.1145/2838344.2856460
10.3389/fpsyg.2016.01919,10.1177/0890117116661982.
10.1161/01.cir.80.2.285,10.1161/circ.39.1.48
10.1007/s00415-020-09705-7,10.1101/390815v1
10.1080/15374416.2014.940623,10.1111/j.1741–3737.2005.00191.x
10.1161/01.str.25.3.663,10.1161/str.24.2.7678472
10.1177/0959683617721334,10.1177/0959683616683260.
10.1007/978-4-431-54391-6_7,10.5475/geologija.2005.011
10.1161/01.atv.19.1.122,10.1161/circ.91.9.2488
10.1039/c0cc02213f,10.1016/j.jpowersour.2010.06.096
10.1111/j.1467-9272.2006.00573_2.x,10.1111/j.0033-0124.1995.458_h.x
10.4018/ijsda.2013070105,10.1016/0305-0483(80)90061-4]
10.1016/j.enzmictec.2016.04.004,10.15376/biores.3.3.929-980
10.1007/s12182-019-00423-y,10.1190/1.18931.4
10.1161/01.str.0000229878.93759.a2,10.1161/str.28.6.1185
10.2478/s11696-009-0027-5,10.1016/j.aca.2006.07.086.http://dx.doi.org/10.1016/j.aca.2006.07.086
10.1161/01.cir.0000125742.65841.8b,10.1161/circ.97.12.1114
10.1161/01.str.0000095791.85737.65,10.1161/str.31.9.2055
10.1161/01.cir.69.2.409,10.1161/res.42.4.147145
10.1161/01.cir.95.4.1062,10.1161/atv91.11.3.1903061
10.1101/201772,10.1007/s10548-017-0554-2.
10.2307/40166816,10.2307/2459649
10.1351/pac200880122667,10.1021/bi0100236...........-.-.403420(2001)
10.1007/s00216-020-02683-9,10.1016/j.ecoenv.2014.11.015.
10.1161/hypertensionaha.116.07933,10.1161/res.73.1.7685252
10.1002/mren.201300185,10.1002/mren201300152
10.1161/01.str.15.1.102,10.1161/str.6.4.402
10.1161/circulationaha.116.021348,10.1161/circ.89.3.8124838
10.4161/psb.6.7.15580,10.1111/j.1469-8137.2010.03582
10.1111/eva.12096,10.1007/s10905‐013‐9391‐7
10.1007/978-3-030-15573-5_15,10.1007/s00384–004–0688-z
10.1161/circulationaha.106.177303,10.1161/circ.78.1.3289791
10.1161/01.res.25.6.669,10.1161/res.5.1.64
10.2478/s11696-010-0088-5,10.1016/j.jlumin.2004.10.018.http://dx.doi.org/10.1016/j.jlumin.2004.10.018
10.1161/circulationaha.113.001614,10.1161/circ.69.2.6690097
10.1145/1517463.1517465,10.5555/1315451.1315520
10.1128/mbio.00741-16,10.1021/bi3013565(2012)
10.1139/cjfr-2019-0412,10.1093/forestscience/47.3.419
10.1038/s41598-017-09356-1,10.3748/wjg.v20.i4.908.
10.1186/s12958-018-0357-7,10.3402/fnr.v3459.25866
10.1515/pjct-2016-0045,10.1039/409582
10.1145/2509136.2509523,10.5555/2486788.2486897
10.3389/fnhum.2014.00771,10.1111/j.1530-0277.2006.00133
10.1016/j.jand.2015.05.019,10.3109/03093649709164525
10.1369/0022155420937371,10.1016/j.bone.2013.01.022.
10.1161/atvbaha.113.303097,10.1161/atv91.11.4.2065049
10.1145/191843.191880,10.5555/647223.718907
10.1161/01.cir.88.2.481,10.1161/circ.86.2.1638712
10.1161/circulationaha.115.019645,10.1161/circ.104.8.914
10.1007/978-3-030-50892-0_17,10.4324/9781315793207.
10.1145/1670679.1670680,10.5555/257734.257788
10.3390/s19153339,10.251/36141
10.1002/qj.2479,10.1088/1748‐9326/7/1/015602
10.1515/apd-2015-0011,"10.1002/asi.22647,pp.2206-2222"
10.3897/herpetozoa.32.e37094,10.30906/1026-2296-2018-25-3-221-226
10.1002/9781119438519.ch38,10.1037/0012‐1649.21.6.1016
10.1161/circresaha.116.304710,10.1161/circ.95.12.2643
10.1161/01.str.27.9.1641,10.1161/str.17.6.3810705
10.1161/circulationaha.105.589044,10.1161/str.30.7.1319
10.1088/0960-1317/24/12/125017,10.1108/03056/20910928699
10.1161/01.res.81.1.24,10.1161/circ.91.11.2793
10.2139/ssrn.3397935,10.1257/aer.101
10.1101/476408,10.1371/journal.pbio.0060265.
10.18185/erzifbed.420815,10.1088/1742-6596/218/1/012001.
10.1080/09168451.2017.1372178,10.1155/2012:816501
10.1016/b978-0-323-35955-9.00017-9,10.1007/s10549-015-3393-4
10.1186/s40824-017-0106-6,10.1002/biof.1266.
10.1161/strokeaha.115.011292,10.1161/str.17.4.3526645
10.4018/978-1-4666-8162-0.ch009,10.1016/2011
10.2174/1381612825666191029101830,10.1007/3-540-05462-6_1
10.1177/1947603517723072,10.1136/ard.2011.152017.
10.1161/hypertensionaha.107.105767,10.1161/hyp.33.1.90
10.1525/sp.2009.56.4.647,10.2307/4121407
10.3280/ic2014-274001,10.1412/2543
10.1145/1095809.1095828,10.5555/1060289.1060301
10.1145/3029806.3029829,10.5555/1791834.1791836
10.2307/800121,10.2307/1741585
10.1161/01.hyp.36.4.517,10.1161/circ.101.14.1729
10.1007/s11252-020-01024-z,10.1371/journal.pbio.00400001
10.1049/mnl.2018.5260,10.1007/s12645‐011‐0014‐8
10.1177/1558944719836211,10.1093/bja/aew466.
10.1002/2013jc009722,10.1016/j.coastleng.2004.02.001
10.1177/1542305016687581,10.1080/02796015.2008.12087908
10.1145/3219819.3220119,10.5555/874063.875554
10.1161/01.cir.62.6.1280,10.1161/circ.61.3.7353237
10.1161/01.cir.77.2.415,10.1161/circ.66.1.7083504
10.1075/dujal.4.1.11zar,10.1007/978−3−531−92105−1_3
10.1161/01.str.22.11.1374,10.1161/str.19.9.3046071
10.1515/intag-2016-0053,"10.1186/1735-2746-10-21,http://www.ijehse.com/content/10/1/21"
10.1161/01.res.67.2.501,10.1161/res.64.4.2522834
10.1177/1043986211418888,10.3138/9781442604001
10.1002/tesq.332,10.1177/014616729902500201
10.1186/s40623-020-01245-8,10.4294/jpe1952.34
10.1186/s12954-017-0194-6,10.1080/01443410.2014.998630.
10.1002/9781119171492.wecad202,10.1111/j.1741‐3729.2003.00352.x
10.15446/caldasia.v41n1.71327,10.1046/j.1365-2699.2000.00397
10.1161/01.cir.20.6.1063,10.1161/res.4.5.579
10.2478/s11686-009-0028-0,10.1016/0014-4894(72)90103-8.http://dx.doi.org/10.1016/0014-4894(72)90103-8
10.3390/hydrology7020033,10.12691/ajwr-5-4-3
10.1002/2017jc012947,10.1098/rstl.1987.0004
10.1177/1077801217697207,10.2307/20058969
10.1186/s12864-020-07074-z,10.1371/journal.pone.0174717.ecollection
10.1049/iet-cvi.2014.0432,10.1007/s10846‐014‐0039‐4
10.1161/strokeaha.109.549576,10.1161/str.30.10.2008
10.1161/01.res.0000137170.41939.d9,10.1161/circ.91.6.1824
10.3103/s1068366613010091,10.30970/jps.11.268
10.1080/01490400.2020.1713938,10.1002/yd20112
10.1002/qj.2742,10.1002/qj.49712757802.
10.1007/s12144-018-9785-y,10.1177/1740774516673365.
10.1161/01.cir.64.3.499,10.1161/circ.35.1.158
10.3847/1538-3881/ab4907,10.1089/ast.2007.022
10.1007/s11540-018-9368-1,10.1007/s12230-0169509-5
10.3389/fcell.2016.00002,10.1038/onc.2c.2011.527
10.1161/circ.106.25.3373,10.1161/atv91.13.1.8422338
10.1080/10426914.2020.1843665,10.29391/2019.98.026
10.1007/s40011-016-0791-2,10.4014/jmb.0812.649
10.1161/01.res.52.4.401,10.1161/res.50.4.6802513
10.1161/cir.0000000000000527,10.1161/str.9.4.675750
10.1016/j.cca.2020.09.015,10.3389/fmolb.2020.00157
10.1145/2966986.2980092,10.5555/2132325.2132415
10.1027/0227-5910/a000413,10.1080/87568225.2012.659158
10.1029/2011pa002160,10.1046/j.1365‐3091.2001.00412.x
10.2478/s11696-012-0142-6,10.1002/app.23704.http://dx.doi.org/10.1002/app.23704
10.1007/s00709-019-01425-8,10.1007/s11738-012-1103
10.1161/01.res.64.1.136,10.1161/str.6.3.308
10.1177/1470412920964905,10.25969/mediarep/3402.
10.4041/kjod.2020.50.4.278,10.1043/0003-3219(1996)066
10.1177/0018578720910395,10.1016/j.amjsurg.2019.06.001.
