Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error
10.14778/1920841.1920954,10.5555/646836.708343,,0,0,0,0
10.5406/ethnomusicology.59.2.0202,10.2307/20184517,,0,0,0,0
10.1161/01.cir.63.6.1391,10.1161/circ.37.4.509,,0,0,0,0
10.1177/1179546820918903,10.3748/wjg.v10.i5.707.,10.3748/WJG.V10.I5.707,0,0,1,0
10.1080/10410236.2020.1731937,10.1070/10810730903528033,,0,0,0,0
10.1161/strokeaha.112.652065,10.1161/str.24.7.8322400,,0,0,0,0
10.1177/1049732310393747,10.1111/j.545-5300.2003.42208.x,,0,0,0,0
10.1155/2017/1491405,10.3760/cma.j.issn.0366-6999.20131202,,0,0,0,0
10.1161/01.res.68.6.1549,10.1161/res.35.2.159,,0,0,0,0
10.4018/978-1-5225-2650-6.ch006,10.1002/per,,0,0,0,0
10.1145/2525314.2594229,10.5555/1873601.1873616,,0,0,0,0
10.1007/s10619-020-07320-z,10.3390/sym11070911www.mdpi.com/journal/symmetry,,0,0,0,0
10.1007/s11771-020-4410-2,10.13745/j.esf.2016.02.011,10.13745/j.esf.2016.02.011,1,0,0,0
10.1161/01.cir.102.5.591,10.1161/circ.85.3.1537115,,0,0,0,0
10.1007/s40617-018-00299-1,10.1901/jaba.2012.45-657,10.1901/jaba.2012.45-657,1,0,0,0
10.1074/jbc.m508416200,10.1059/0003-4819-100-4-483,,0,0,0,0
10.1177/2054358119836124,10.1016/j.amepre.2015.07.017.,10.1016/J.AMEPRE.2015.07.017,0,0,1,0
10.1002/2014jd022782,10.1016/j.atmosenv.2008.0305,,0,0,0,0
10.1161/01.cir.97.6.553,10.1161/circ.66.1.7083497,,0,0,0,0
10.1080/13642537.2013.849275,10.1080/1364253032000157166,,0,0,0,0
10.1161/01.str.0000057812.51734.ff,10.1161/str.23.11.1440702,,0,0,0,0
10.1007/978-3-319-78030-6_47,10.1186/s12933-015-0183-6.,10.1186/S12933-015-0183-6,0,0,1,0
10.1177/1754073918765660,10.1037/0021–9010.93.3.602,,0,0,0,0
10.1177/0312896217726836,10.1177/0312896216656720.,10.1177/0312896216656720,0,0,1,0
10.1145/3313276.3316328,10.5555/2133036.2133123,,0,0,0,0
10.1145/2834050.2834111,10.5555/2442626.2442634,,0,0,0,0
10.1145/2939918.2939934,10.5555/1785594.1785635,,0,0,0,0
10.1161/01.hyp.29.6.1278,10.1161/res.59.2.2874900,,0,0,0,0
10.1007/s10961-016-9510-7,10.1002/smj,,0,0,0,0
10.1161/circep.110.954636,10.1161/res.89.12.1216,,0,0,0,0
10.1177/1179069518824125,10.3390/brainsci7120164.,10.3390/BRAINSCI7120164,0,0,1,0
10.1145/2835776.2835780,10.5555/944919.944937,,0,0,0,0
10.1145/3190617,10.1145/2838344.2856460,10.1145/2838344.2856460,1,0,0,0
10.3389/fpsyg.2016.01919,10.1177/0890117116661982.,10.1177/0890117116661982,0,0,1,0
10.1161/01.cir.80.2.285,10.1161/circ.39.1.48,,0,0,0,0
10.1007/s00415-020-09705-7,10.1101/390815v1,,0,0,0,0
10.1080/15374416.2014.940623,10.1111/j.1741–3737.2005.00191.x,,0,0,0,0
10.1161/01.str.25.3.663,10.1161/str.24.2.7678472,,0,0,0,0
10.1177/0959683617721334,10.1177/0959683616683260.,10.1177/0959683616683260,0,0,1,0
10.1007/978-4-431-54391-6_7,10.5475/geologija.2005.011,,0,0,0,0
10.1161/01.atv.19.1.122,10.1161/circ.91.9.2488,,0,0,0,0
10.1039/c0cc02213f,10.1016/j.jpowersour.2010.06.096,,0,0,0,0
10.1111/j.1467-9272.2006.00573_2.x,10.1111/j.0033-0124.1995.458_h.x,,0,0,0,0
10.4018/ijsda.2013070105,10.1016/0305-0483(80)90061-4],,0,0,0,0
10.1016/j.enzmictec.2016.04.004,10.15376/biores.3.3.929-980,10.15376/biores.3.3.929-980,1,0,0,0
10.1007/s12182-019-00423-y,10.1190/1.18931.4,,0,0,0,0
10.1161/01.str.0000229878.93759.a2,10.1161/str.28.6.1185,,0,0,0,0
10.2478/s11696-009-0027-5,10.1016/j.aca.2006.07.086.http://dx.doi.org/10.1016/j.aca.2006.07.086,10.1016/J.ACA.2006.07.086,0,1,0,0
10.1161/01.cir.0000125742.65841.8b,10.1161/circ.97.12.1114,,0,0,0,0
10.1161/01.str.0000095791.85737.65,10.1161/str.31.9.2055,,0,0,0,0
10.1161/01.cir.69.2.409,10.1161/res.42.4.147145,,0,0,0,0
10.1161/01.cir.95.4.1062,10.1161/atv91.11.3.1903061,,0,0,0,0
10.1101/201772,10.1007/s10548-017-0554-2.,10.1007/S10548-017-0554-2,0,0,1,0
10.2307/40166816,10.2307/2459649,,0,0,0,0
10.1351/pac200880122667,10.1021/bi0100236...........-.-.403420(2001),10.1021/BI0100236,0,0,1,0
10.1007/s00216-020-02683-9,10.1016/j.ecoenv.2014.11.015.,10.1016/J.ECOENV.2014.11.015,0,0,1,0
10.1161/hypertensionaha.116.07933,10.1161/res.73.1.7685252,,0,0,0,0
10.1002/mren.201300185,10.1002/mren201300152,,0,0,0,0
10.1161/01.str.15.1.102,10.1161/str.6.4.402,,0,0,0,0
10.1161/circulationaha.116.021348,10.1161/circ.89.3.8124838,,0,0,0,0
10.4161/psb.6.7.15580,10.1111/j.1469-8137.2010.03582,,0,0,0,0
10.1111/eva.12096,10.1007/s10905‐013‐9391‐7,,0,0,0,0
10.1007/978-3-030-15573-5_15,10.1007/s00384–004–0688-z,,0,0,0,0
10.1161/circulationaha.106.177303,10.1161/circ.78.1.3289791,,0,0,0,0
10.1161/01.res.25.6.669,10.1161/res.5.1.64,,0,0,0,0
10.2478/s11696-010-0088-5,10.1016/j.jlumin.2004.10.018.http://dx.doi.org/10.1016/j.jlumin.2004.10.018,10.1016/J.JLUMIN.2004.10.018,0,1,0,0
10.1161/circulationaha.113.001614,10.1161/circ.69.2.6690097,,0,0,0,0
10.1145/1517463.1517465,10.5555/1315451.1315520,,0,0,0,0
10.1128/mbio.00741-16,10.1021/bi3013565(2012),10.1021/BI3013565,0,0,1,0
10.1139/cjfr-2019-0412,10.1093/forestscience/47.3.419,,0,0,0,0
