Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error
10.1177/1550147718794629,10.1177/155014773218784.,10.1177/155014773218784,0,0,1,0
10.1177/1178646919831677,10.1186/s13054-014-0596-8.,10.1186/s13054-014-0596-8,0,0,1,0
10.3389/fpsyg.2018.01366,10.1136/oem.2007.034843.,10.1136/oem.2007.034843,0,0,1,0
10.2478/s11696-013-0434-5,10.1016/j.theochem.2008.05.025.http://dx.doi.org/10.1016/j.theochem.2008.05.025,10.1016/j.theochem.2008.05.025,0,1,0,0
10.1177/1078087416637127,10.1177/107808740203700501.,10.1177/107808740203700501,0,0,1,0
10.24289/ijsser.434493,10.1007/s10984-012-9108-4.,10.1007/s10984-012-9108-4,0,0,1,0
10.1038/s41440-020-0523-0,10.5551/jat.32979.,10.5551/jat.32979,0,0,1,0
10.1177/0004867418808899,10.1136/bcr-2015-212380.,10.1136/bcr-2015-212380,0,0,1,0
10.1177/2156759x0001700105,10.1007/s11606-008-0709-7.,10.1007/s11606-008-0709-7,0,0,1,0
10.1177/1078087418824671,10.1007/s10101-014-0145-6.,10.1007/s10101-014-0145-6,0,0,1,0
10.1007/s11936-019-0731-6,10.1016/j.healun.2010.05.034.,10.1016/j.healun.2010.05.034,0,0,1,0
10.3102/0002831217726522,10.1177/0022219416640784.,10.1177/0022219416640784,0,0,1,0
10.34084/bshr.577967,10.1111/j.1471-0528.2010.02584.x.,10.1111/j.1471-0528.2010.02584.x,0,0,1,0
10.1007/s40641-017-0083-9,10.5194/tc-10-477-2016.,10.5194/tc-10-477-2016,0,0,1,0
10.1080/23273798.2014.981552,10.3389/fpsyg.2011.00105/full,10.3389/fpsyg.2011.00105,0,0,1,0
10.2478/s11696-009-0104-9,10.1002/cjce.5450730302.http://dx.doi.org/10.1002/cjce.5450730302,10.1002/cjce.5450730302,0,1,0,0
10.33188/vetheder.554162,10.3102/10769986027004335.,10.3102/10769986027004335,0,0,1,0
10.1007/s13277-016-5129-4,10.1038/nrclinonc.2014.5.,10.1038/nrclinonc.2014.5,0,0,1,0
10.1080/01488376.2018.1532942,10.1080/02673030903362035.,10.1080/02673030903362035,0,0,1,0
10.1177/0963721416667916,10.1038/nn.3136.,10.1038/nn.3136,0,0,1,0
10.1089/crispr.2019.0051,10.1089/hum.2015.137.,10.1089/hum.2015.137,0,0,1,0
10.1101/137778,10.1038/nsmb.3138.,10.1038/nsmb.3138,0,0,1,0
10.1080/02726351.2018.1487491,10.1016/j.jmapro.2012.01.003.,10.1016/j.jmapro.2012.01.003,0,0,1,0
10.1177/0009922818759318,10.1002/cncr.26262.,10.1002/cncr.26262,0,0,1,0
10.1080/00140139.2018.1501093,10.1007/s10111-016-0382-2.,10.1007/s10111-016-0382-2,0,0,1,0
10.2478/s11696-013-0389-6,10.1007/s10295-010-0696-7.http://dx.doi.org/10.1007/s10295-010-0696-7,10.1007/s10295-010-0696-7,0,1,0,0
