Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error,Pattern,Really_valid
10.1007/978-3-030-04233-2_7,10.1073/pnas.1418604112/-/dcsupplemental,10.1073/pnas.1418604112,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2015/630265,10.1073/pnas.1318688111/-/dcsupplemental,10.1073/pnas.1318688111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2015/314620,10.1073/pnas.1319051111/-/dcsupplemental,10.1073/pnas.1319051111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2016/5797521,10.1073/pnas.1324297111/-/dcsupplemental,10.1073/pnas.1324297111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2016/5081021,10.1073/pnas.1417498112/-/dcsupplemental,10.1073/pnas.1417498112,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2015/795043,10.1073/pnas.1324140111/-/dcsupplemental,10.1073/pnas.1324140111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1007/s11468-016-0323-1,10.1073/pnas.1007524107/-/dcsupplemental,10.1073/pnas.1007524107,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2017/9148523,10.1073/pnas.1324140111/-/dcsupplemental,10.1073/pnas.1324140111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1007/s10237-018-1016-9,10.1073/pnas.1201513109/-/dcsupplemental,10.1073/pnas.1201513109,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1155/2015/832057,10.1073/pnas.1403683111/-/dcsupplemental,10.1073/pnas.1403683111,0,0,1,0,(\/-\/DCSUPPLEMENTAL)$,
10.1186/s40317-017-0120-4,10.1126/science.1255642.pmid:26068859,10.1126/science.1255642,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1186/s40623-020-1130-7,10.1126/science.aaf1512pmid:27418504,10.1126/science.aaf1512,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1186/s13072-017-0137-1,10.1371/journal.pbio.1000313pmid:20186266,10.1371/journal.pbio.1000313,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1007/978-3-030-41929-5_7,10.1371/journal.pone.0035968.pmid:22567121,10.1371/journal.pone.0035968,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1080/00167428.2020.1728195,10.1016/j.cub.2018.11.029pmid:30581024,10.1016/j.cub.2018.11.029,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1007/s13562-017-0435-5,10.1038/nbt.2199.pmid:22565958,10.1038/nbt.2199,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1177/2056305117698981,10.1038/nature07634.pmid:19020500,10.1038/nature07634,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1007/s12665-018-7851-2,10.1371/journal.pone.0027973.pmid:22125645,10.1371/journal.pone.0027973,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1177/0898010118761401,10.1089/jpm.2013.0594pmid:24984168,10.1089/jpm.2013.0594,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1177/1075547017707320,10.1111/j.1539-6924.2011.01695.x.pmid:21992607,10.1111/j.1539-6924.2011.01695.x,0,0,1,0,"([\.|\(|,|;]?PMID:\d+.*?)$",
10.1515/rjdnmd-2016-0014,10.1111/1753-0407.12297[epubaheadofprint],10.1111/1753-0407.12297,0,0,1,0,([\(|\[]EPUBAHEADOFPRINT[\)\]])$,
10.1515/hsz-2014-0207,10.1016/j.jprot.2014.03.043(epubaheadofprint),10.1016/j.jprot.2014.03.043,0,0,1,0,([\(|\[]EPUBAHEADOFPRINT[\)\]])$,
10.1515/rjim-2017-0039,10.1111/dme.13431(epubaheadofprint),10.1111/dme.13431,0,0,1,0,([\(|\[]EPUBAHEADOFPRINT[\)\]])$,
10.1515/hsz-2014-0207,10.1021/pr500421v(epubaheadofprint),10.1021/pr500421v,0,0,1,0,([\(|\[]EPUBAHEADOFPRINT[\)\]])$,
10.1155/2015/843802,10.1101/gr.229202.articlepublishedonlinebeforemarch2002,10.1101/gr.229202,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2017/9139504,10.1101/gr.229202.articlepublishedonlinebeforemarch2002,10.1101/gr.229202,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2015/491502,10.1101/gr.229102.articlepublishedonlinebeforeprintinmay2002,10.1101/gr.229102,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2015/182389,10.1101/gr.229202.articlepublishedonlinebeforemarch2002,10.1101/gr.229202,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2016/8496165,10.1101/gr.229102.articlepublishedonlinebeforeprintinmay2002,10.1101/gr.229102,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2015/405371,10.1101/gr.229102.articlepublishedonlinebeforeprintinmay2002,10.1101/gr.229102,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2016/7639397,10.1101/gr.87702.articlepublishedonlinebeforeprintinmay2002,10.1101/gr.87702,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1155/2015/807407,10.1101/gr.229202.articlepublishedonlinebeforemarch2002,10.1101/gr.229202,0,0,1,0,"([\.|\(|,|;]?ARTICLEPUBLISHEDONLINE.*?\d{4})$",
10.1515/opli-2019-0033,10.5054/tq.2011.240859.http://openurl.ingenta.com/content/xref?genre=article&issn=0039-8322&volume=45&issue=1&spage=36,10.5054/tq.2011.240859,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2139/ssrn.3363097,10.1145/2567948.2577327.http://doi.acm.org/10.1145/2567948.2577327,10.1145/2567948.2577327,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2478/v10141-012-0008-1,10.1186/1471-2458-12-7http://www.biomedcentral.com,10.1186/1471-2458-12-7,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1007/s00170-015-7798-3,"10.1007/s00170-012-4483-7,http://www.springerlink.com/content/97744668843ukp07",10.1007/s00170-012-4483-7,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.1017/s1743921315010406,10.17815/jlsrf-1-18http://doi.org/10.1016/j.icarus.2005.05.017,10.17815/jlsrf-1-18,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2139/ssrn.2856803,10.3386/w26501.http://www.nber.org/papers/w26501,10.3386/w26501,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.21511/bbs.15(2).2020.03,10.1093/rfs/hhx132http://doi.org/10.1093/rfs/hhx132,10.1093/rfs/hhx132,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
10.2139/ssrn.2727414,10.1145/2090236.2090257http://doi.acm.org/10.1145/2090236.2090257,10.1145/2090236.2090257,0,0,1,0,"([\.|\(|,|;]*HTTP:\/\/.*?)$",
